,Model,Link
0,gemma4,https://ollama.com/library/gemma4
1,medgemma1.5,https://ollama.com/library/medgemma1.5
2,pierreprudh/gemma4-12b-mtp,https://ollama.com/pierreprudh/gemma4-12b-mtp
3,MobiusDevelopment/gemma4-E2B-it-qat-Q4-unsloth-heretic,https://ollama.com/MobiusDevelopment/gemma4-E2B-it-qat-Q4-unsloth-heretic
4,dommage/gemma4-e4b-qat,https://ollama.com/dommage/gemma4-e4b-qat
5,HanifAR24/gemma4-e2b-distilled,https://ollama.com/HanifAR24/gemma4-e2b-distilled
6,sushicodechef/gemma4,https://ollama.com/sushicodechef/gemma4
7,jeffgreen311/Eve-Gemma4-S0LF0RG3-Oracle,https://ollama.com/jeffgreen311/Eve-Gemma4-S0LF0RG3-Oracle
8,jeremihugede/gemma4-pde,https://ollama.com/jeremihugede/gemma4-pde
9,kylin20200921/gemma4,https://ollama.com/kylin20200921/gemma4
10,GamingCat9439/Technoblade-AI,https://ollama.com/GamingCat9439/Technoblade-AI
11,sonct988/gemma4-26b-a4b-it-q4km-256k,https://ollama.com/sonct988/gemma4-26b-a4b-it-q4km-256k
12,maxwellb/gemma4-12b-it-oym,https://ollama.com/maxwellb/gemma4-12b-it-oym
13,batiai/gemma4-12b,https://ollama.com/batiai/gemma4-12b
14,rafw007/gemma4-e4b-claude-coder,https://ollama.com/rafw007/gemma4-e4b-claude-coder
15,Librellama/gemma4,https://ollama.com/Librellama/gemma4
16,SetneufPT/Gemma4-12B-IT-QAT_Q4_64K_16GB-GPU,https://ollama.com/SetneufPT/Gemma4-12B-IT-QAT_Q4_64K_16GB-GPU
17,mannix/gemma4-98e-v7-coder,https://ollama.com/mannix/gemma4-98e-v7-coder
18,SetneufPT/Gemma4-12B_Q4_64K_16GB-GPU,https://ollama.com/SetneufPT/Gemma4-12B_Q4_64K_16GB-GPU
19,rafw007/gemma4-26b-claude-coder,https://ollama.com/rafw007/gemma4-26b-claude-coder
